#fields: DAQ.lowering,DAQ.type,EIC.time,EIC.lat,EIC.lon,EIC.x,EIC.y,DAQ.g,DAQ.p,DAQ.r,DAQ.a,EIC.depth,DAQ.da,MAG.src,MAG.x,MAG.y,MAG.z,MAG.m,CTD.src,CTD.tp,CTD.c,CTD.dp,CTD.s,CTD.svel,CTD.p,DAQ.cruiseid,DAQ.etype,DAQ.evt
J2-725,EVT,2013/09/01 17:19:32,46.6666441,-126.0000189,-1.45,-2.54,221.84,0.8,-0.0,0.00,0.38,0.38,,,,,,,,,,,,,AT26-04,DLG,TXT:
J2-725,EVT,2013/09/01 19:44:37,46.6666441,-126.0000190,-1.45,-2.55,222.13,1.3,-0.0,0.00,0.21,0.21,HMR2300,10513.3,9166.7,41060.0,43364.5,,,,,,,,AT26-04,DLG,TXT:
J2-725,EVT,2013/09/01 19:44:47,46.6666441,-126.0000190,-1.45,-2.55,222.13,1.2,-0.0,0.00,0.16,0.16,HMR2300,10480.0,9153.3,41066.7,43359.9,,,,,,,,AT26-04,HDF,hdFrameGrab: RGB.20130901_194447_247.tif
J2-725,EVT,2013/09/02 19:57:20,46.6666441,-126.0000188,-1.44,-2.54,221.92,0.4,-0.0,0.00,1.19,1.19,HMR2300,11906.7,5873.3,40960.0,43057.9,,,,,,,,AT26-04,HDF,hdFrameGrab: RGB.20130902_195720_228.tif
J2-725,EVT,2013/09/02 19:59:53,46.6666441,-126.0000189,-1.45,-2.54,222.06,0.8,-0.0,0.00,1.16,1.16,HMR2300,12273.3,5706.7,41140.0,43309.4,,,,,,,,AT26-04,HDF,hdFrameGrab: RGB.20130902_195953_219.tif
J2-726,EVT,2013/09/03 20:38:53,46.6666693,-126.0000250,-1.91,0.26,0.00,0.0,0.0,0.00,0.00,0,HMR2300,9780.0,14286.7,41306.7,44788.4,,,,,,,,TN300,DLG,VERSION 3.3
J2-726,EVT,2013/09/03 20:49:29,46.6666693,-126.0000250,-1.91,0.26,0.00,0.0,0.0,0.00,0.00,0,HMR2300,9780.0,14286.7,41306.7,44788.4,,,,,,,,TN300,DLG,VERSION 3.3
J2-726,EVT,2013/09/03 20:54:32,46.6666693,-126.0000250,-1.91,0.26,0.00,0.0,0.0,0.00,0.00,0,HMR2300,9780.0,14286.7,41306.7,44788.4,,,,,,,,TN300,DLG,VERSION 3.3
J2-726,EVT,2013/09/03 20:57:18,46.6666693,-126.0000250,-1.91,0.26,0.00,0.0,0.0,0.00,0.00,0,HMR2300,9780.0,14286.7,41306.7,44788.4,,,,,,,,TN300,DLG,VERSION 3.3
J2-726,EVT,2013/09/03 21:02:56,46.6666693,-126.0000250,-1.91,0.26,62.22,0.5,-0.2,0.00,1.21,1.21,HMR2300,-18580.0,31720.0,39826.7,54199.1,,,,,,,,TN300,DLG,VERSION 3.3
J2-726,EVT,2013/09/05 21:29:20,45.9166624,-130.0249929,0.55,-0.51,0.00,0.0,0.0,0.00,0.00,0,HMR2300,-20966.7,35680.0,37573.3,55896.5,,,,,,,,TN300,HDF,hdFrameGrab: RGB.20130905_212920_830.tif
J2-726,EVT,2013/09/05 21:29:51,45.9166624,-130.0249929,0.55,-0.51,256.68,0.5,0.7,0.00,1.40,1.4,HMR2300,-21253.3,36406.7,37166.7,56200.6,,,,,,,,TN300,HDF,hdFrameGrab: RGB.20130905_212951_597.tif
J2-726,EVT,2013/09/05 21:30:17,45.9166624,-130.0249929,0.55,-0.51,37.49,0.1,-0.8,0.00,1.33,1.33,HMR2300,-21160.0,37800.0,36640.0,56736.9,,,,,,,,TN300,HDF,hdFrameGrab: RGB.20130905_213017_856.tif
J2-726,EVT,2013/09/05 21:34:20,45.9166690,-130.0250109,-0.84,0.22,23.81,1.5,-0.5,0.00,1.11,1.11,HMR2300,-22986.7,24866.7,38673.3,51403.9,,,,,,,,TN300,HDF,hdFrameGrab: RGB.20130905_213419_906.tif
J2-726,EVT,2013/09/05 23:04:35,45.9166335,-130.0250539,-4.18,-3.72,260.96,-0.3,0.3,0.00,1.12,1.12,HMR2300,1066.7,-640.0,34260.0,34282.6,,,,,,,,TN300,DLG,VERSION 3.3
J2-726,EVT,2013/09/05 23:07:06,45.9166335,-130.0250539,-4.18,-3.72,260.96,-0.3,0.3,0.00,1.12,1.12,HMR2300,1066.7,-640.0,34260.0,34282.6,,,,,,,,TN300,DLG,VERSION 3.3
J2-726,EVT,2013/09/05 23:09:29,45.9166335,-130.0250539,-4.18,-3.72,260.96,-0.3,0.3,0.00,1.12,1.12,HMR2300,1066.7,-640.0,34260.0,34282.6,,,,,,,,TN300,DLG,TXT: testing
J2-726,EVT,2013/09/05 23:25:24,45.9166199,-130.0250287,-2.23,-5.23,210.17,-13.4,1.2,2.38,2.44,4.82,HMR2300,8666.7,1380.0,45446.7,46286.2,,,,,,,,TN300,DLG,JASON: Jason in water
J2-726,EVT,2013/09/05 23:26:55,45.9166182,-130.0250199,-1.54,-5.42,194.28,-8.8,-1.5,0.74,2.45,3.19,HMR2300,14866.7,10126.7,46706.7,50050.8,,,,,,,,TN300,DLG,TXT: Jason in the water for dive J2-726. Start of Axial 2013 expedition. TN300.
