#fields: DAQ.lowering,DAQ.type,EIC.time,EIC.lat,EIC.lon,EIC.x,EIC.y,DAQ.g,DAQ.p,DAQ.r,DAQ.a,EIC.depth,DAQ.da,MAG.src,MAG.x,MAG.y,MAG.z,MAG.m,CTD.src,CTD.tp,CTD.c,CTD.dp,CTD.s,CTD.svel,CTD.p,DAQ.cruiseid,DAQ.etype,DAQ.evt
J2-1104,EVT,2018/08/17 21:09:34,45.7499781,-130.2000145,-1.13,-2.43,226.47,-0.5,1.3,0.75,0.82,1.57,HMR2300,6940.0,1053.3,42893.3,43463.9,,,,,,,,KM1813,DLG,FREE_FORM: test 
J2-1104,EVT,2018/08/17 21:26:37,45.7499782,-130.2000147,-1.14,-2.42,226.85,-0.3,1.2,0.75,1.18,1.93,HMR2300,7166.7,1186.7,42900.0,43510.7,,,,,,,,KM1813,SmartHub,input User 38 (port 4) routed to output VVan Ch4 (port 6)
J2-1104,EVT,2018/08/17 21:26:37,45.7499782,-130.2000147,-1.14,-2.42,226.85,-0.3,1.2,0.75,1.18,1.93,HMR2300,7166.7,1186.7,42900.0,43510.7,,,,,,,,KM1813,SmartHub,input User 40 (port 6) routed to output VVan Ch4 (port 6)
J2-1104,EVT,2018/08/17 21:27:01,45.7499782,-130.2000147,-1.14,-2.42,226.91,-0.2,1.2,0.75,1.18,1.93,HMR2300,7206.7,1166.7,42886.7,43503.6,,,,,,,,KM1813,DLG,FREE_FORM: test 
J2-1104,EVT,2018/08/17 21:28:28,45.7499782,-130.2000147,-1.14,-2.42,226.86,-0.3,1.2,0.75,1.19,1.94,HMR2300,7186.7,1193.3,42913.3,43527.3,,,,,,,,KM1813,DLG,FREE_FORM: test 
J2-1104,EVT,2018/08/18 22:15:01,45.7500000,-130.2000000,0.00,0.00,40.47,-0.5,2.0,0.00,0.75,0.75,HMR2300,-26026.7,2080.0,44373.3,51485.0,,,,,,,,KM1813,DLG,SAMPLE: test Sample GTB
J2-1104,EVT,2018/08/18 22:17:22,45.7500247,-130.2000091,-0.71,2.74,359.50,-0.6,1.5,0.75,0.85,1.6,HMR2300,-26086.7,3000.0,44586.7,51744.4,,,,,,,,KM1813,SmartHub,input Pilot (port 3) routed to output FG1 (port 1)
J2-1104,EVT,2018/08/18 22:17:36,45.7500247,-130.2000091,-0.71,2.74,357.96,-1.4,1.6,0.75,0.86,1.61,HMR2300,-26466.7,2413.3,44213.3,51586.1,,,,,,,,KM1813,SmartHub,input Sulis (port 1) routed to output FG1 (port 1)
J2-1104,EVT,2018/08/18 22:21:17,45.7500247,-130.2000091,-0.71,2.74,1.20,0.6,1.4,0.75,0.95,1.7,HMR2300,-24960.0,3806.7,44473.3,51140.7,,,,,,,,KM1813,SmartHub,input User 39 (port 5) routed to output FG1 (port 1)
J2-1104,EVT,2018/08/18 22:22:12,45.7500247,-130.2000091,-0.71,2.74,359.66,-1.0,1.6,0.75,1.05,1.8,HMR2300,-26026.7,2206.7,44273.3,51404.1,,,,,,,,KM1813,SmartHub,input Sulis (port 1) routed to output FG1 (port 1)
