#fields: DAQ.lowering,DAQ.type,EIC.time,EIC.lat,EIC.lon,EIC.x,EIC.y,DAQ.g,DAQ.p,DAQ.r,DAQ.a,EIC.depth,DAQ.da,MAG.src,MAG.x,MAG.y,MAG.z,MAG.m,CTD.src,CTD.tp,CTD.c,CTD.dp,CTD.s,CTD.svel,CTD.p,DAQ.cruiseid,DAQ.etype,DAQ.evt
,EVT,2014/08/11 01:43:34,,,,,,,,,,0,,,,,,,,,,,,,,TEST,Test Event Button Pressed
,EVT,2014/08/12 05:24:30,,,,,,,,,,0,,,,,,,,,,,,,,TEST,Test Event Button Pressed
,EVT,2014/08/12 07:00:58,,,,,,,,,,0,,,,,,,,,,,,,,TEST,Test Event Button Pressed
J2-786,ASNAP,2014/08/12 07:04:36,45.9166431,-130.0251164,-9.03,-2.65,4.01,-8.6,0.2,0.00,1063.51,1063.51,HMR2300,-27706.7,8720.0,46000.0,54403.1,,,,,,,,RB-14-03,,
J2-786,ASNAP,2014/08/12 07:05:17,45.9166421,-130.0251153,-8.94,-2.77,5.12,-8.6,0.0,0.00,1081.60,1081.6,HMR2300,-27686.7,9140.0,45860.0,54343.6,,,,,,,,RB-14-03,,
J2-786,EVT,2014/08/12 07:05:38,45.9166410,-130.0251174,-9.11,-2.89,2.71,-8.2,0.6,0.00,1091.21,1091.21,HMR2300,-27240.0,8053.3,46480.0,54472.6,,,,,,,,RB-14-03,DLG,JASON: Jason in water
J2-786,ASNAP,2014/08/12 07:05:47,45.9166407,-130.0251169,-9.07,-2.92,2.20,-8.5,-0.0,0.00,1095.52,1095.52,HMR2300,-27586.7,8440.0,46140.0,54416.5,,,,,,,,RB-14-03,,
J2-786,ASNAP,2014/08/12 07:06:17,45.9166407,-130.0251169,-9.07,-2.92,10.51,-8.3,0.0,0.00,1109.07,1109.07,HMR2300,-27753.3,11093.3,45140.0,54138.1,,,,,,,,RB-14-03,,
J2-786,EVT,2014/08/12 07:06:43,45.9166410,-130.0251161,-9.00,-2.89,4.72,-8.1,-0.1,0.00,1120.68,1120.68,HMR2300,-27466.7,9393.3,45920.0,54325.9,,,,,,,,RB-14-03,DLG,Frame_Grab:
J2-786,ASNAP,2014/08/12 07:06:47,45.9166409,-130.0251156,-8.97,-2.90,6.14,-8.2,-0.4,0.00,1122.19,1122.19,HMR2300,-27326.7,10273.3,45720.0,54245.8,,,,,,,,RB-14-03,,
J2-786,ASNAP,2014/08/12 07:07:17,45.9166409,-130.0251150,-8.92,-2.90,7.53,-8.7,0.2,0.00,1135.59,1135.59,HMR2300,-27793.3,10120.0,45453.3,54230.0,,,,,,,,RB-14-03,,
J2-786,ASNAP,2014/08/12 07:07:47,45.9166410,-130.0251132,-8.79,-2.89,10.29,-8.4,0.3,0.00,1149.99,1149.99,HMR2300,-27800.0,10993.3,45113.3,54119.4,,,,,,,,RB-14-03,,
J2-786,ASNAP,2014/08/12 07:08:17,45.9166410,-130.0251139,-8.84,-2.89,8.62,-8.4,0.2,0.00,1165.01,1165.01,HMR2300,-27953.3,10253.3,45266.7,54181.1,,,,,,,,RB-14-03,,
J2-786,ASNAP,2014/08/12 07:08:47,45.9166411,-130.0251133,-8.79,-2.88,10.21,-8.1,0.9,0.00,1180.27,1180.27,HMR2300,-27413.3,10513.3,45540.0,54184.1,,,,,,,,RB-14-03,,
J2-786,EVT,2014/08/12 07:09:17,45.9166411,-130.0251114,-8.65,-2.88,13.34,-7.8,-0.1,0.00,1195.05,1195.05,HMR2300,-27366.7,12453.3,44860.0,54004.1,,,,,,,,RB-14-03,DLG,TXT: Data entry prior to 07:11 was lost due to firewall.
J2-786,ASNAP,2014/08/12 07:09:17,45.9166411,-130.0251114,-8.65,-2.88,13.34,-7.8,-0.1,0.00,1195.05,1195.05,HMR2300,-27340.0,12460.0,44860.0,53992.1,,,,,,,,RB-14-03,,
