#fields: DAQ.lowering,DAQ.type,EIC.time,EIC.lat,EIC.lon,EIC.x,EIC.y,DAQ.g,DAQ.p,DAQ.r,DAQ.a,EIC.depth,DAQ.da,MAG.src,MAG.x,MAG.y,MAG.z,MAG.m,CTD.src,CTD.tp,CTD.c,CTD.dp,CTD.s,CTD.svel,CTD.p,DAQ.cruiseid,DAQ.etype,DAQ.evt
J2-952,EVT,2017/07/14 18:10:43,32.6297611,-117.5509083,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,,,,,,,,,,,,,SR1612,TXT,test
J2-952,EVT,2017/07/14 18:10:53,32.6297611,-117.5509083,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,,,,,,,,,,,,,SR1612,TXT,test again
J2-952,EVT,2017/07/14 18:10:58,32.6297611,-117.5509083,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,,,,,,,,,,,,,SR1612,TXT,test 3
J2-964,EVT,2017/07/14 22:24:57,45.7500075,-130.2000251,-1.95,0.83,23.58,-0.2,1.8,0.00,0.59,0.59,HMR2300,-23793.3,21993.3,33613.3,46687.1,,,,,,,,RR1712,TXT,deck test 1
J2-964,EVT,2017/07/14 22:25:45,45.7500075,-130.2000251,-1.95,0.83,22.72,-1.1,0.9,0.00,0.67,0.67,HMR2300,-23920.0,21873.3,33293.3,46465.6,,,,,,,,RR1712,TXT,deck test
J2-964,EVT,2017/07/15 15:25:12,45.7500000,-130.2000000,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,HMR2300,-22860.0,16140.0,34440.0,44375.6,,,,,,,,RR1712,DLG,VERSION 4.01
J2-964,EVT,2017/07/15 15:28:40,45.7500000,-130.2000000,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,HMR2300,-22860.0,16140.0,34440.0,44375.6,,,,,,,,RR1712,DLG,VERSION 4.01
J2-964,EVT,2017/07/15 15:29:14,45.7500000,-130.2000000,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,HMR2300,-22860.0,16140.0,34440.0,44375.6,,,,,,,,RR1712,DLG,VERSION 4.01
J2-964,EVT,2017/07/15 15:41:54,45.7500000,-130.2000000,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,,,,,,,,,,,,,RR1712,TXT,more
J2-964,EVT,2017/07/15 16:28:48,45.7500000,-130.2000000,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,,,,,,,,,,,,,RR1712,TXT,test tekcube4
J2-964,EVT,2017/07/15 16:29:40,45.7500000,-130.2000000,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,,,,,,,,,,,,,RR1712,TXT,more tek4
J2-964,EVT,2017/07/15 18:15:28,45.7500000,-130.2000000,0.00,0.00,347.96,-0.1,0.3,0.00,0.62,0.62,HMR2300,-20686.7,11000.0,35400.0,42451.1,,,,,,,,RR1712,DLG,TXT: test USR:eventlogger
J2-964,EVT,2017/07/15 19:38:44,45.7500000,-130.2000000,0.00,0.00,47.25,0.2,1.0,0.00,0.65,0.65,HMR2300,-22573.3,13020.0,37680.0,45813.3,,,,,,,,RR1712,DLG,TXT: prelaunch test USR:eventlogger
J2-964,EVT,2017/07/15 19:51:03,45.7500000,-130.2000000,0.00,0.00,89.34,-17.7,-0.3,0.75,2.59,3.34,HMR2300,-14340.0,18513.3,29213.3,37440.6,,,,,,,,RR1712,DLG,JASON: Jason in water USR:eventlogger
J2-964,EVT,2017/07/15 19:55:49,45.7500000,-130.2000000,0.00,0.00,167.20,-3.7,1.2,192.29,0.66,192.95,HMR2300,13406.7,25146.7,36813.3,46554.4,,,,,,,,RR1712,DLG,JASON: Jason out of water USR:eventlogger
