#fields: DAQ.lowering,DAQ.type,EIC.time,EIC.lat,EIC.lon,EIC.x,EIC.y,DAQ.g,DAQ.p,DAQ.r,DAQ.a,EIC.depth,DAQ.da,MAG.src,MAG.x,MAG.y,MAG.z,MAG.m,CTD.src,CTD.tp,CTD.c,CTD.dp,CTD.s,CTD.svel,CTD.p,DAQ.cruiseid,DAQ.etype,DAQ.evt
J2-819,EVT,2015/08/15 16:36:47,-22.0166670,-176.5833330,0.00,0.00,325.46,-0.2,-0.5,1.16,0.91,2.07,HMR2300,-21873.3,38686.7,12493.3,46164.8,,,,,,,,RR1507,TXT,decktest
J2-819,EVT,2015/08/15 16:44:55,-22.0166670,-176.5833330,0.00,0.00,325.79,1.1,-1.1,1.14,0.97,2.11,HMR2300,-21600.0,39126.7,12233.3,46336.9,,,,,,,,RR1507,DLG,TXT: event logger test
J2-820,EVT,2015/08/15 18:20:42,45.9166667,-130.0250000,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,HMR2300,-21600.0,39126.7,12233.3,46336.9,,,,,,,,TN327,DLG,VERSION 4.01
J2-820,EVT,2015/08/15 19:36:01,45.9166667,-130.0250000,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0,HMR2300,-21600.0,39126.7,12233.3,46336.9,,,,,,,,TN327,SmartHub,input SupScorpio (port 4) routed to output KiPro (port 4)
J2-820,EVT,2015/08/15 23:37:16,45.9166624,-130.0250260,-2.02,-0.48,0.00,0.0,0.0,0.00,0.00,0,HMR2300,-21600.0,39126.7,12233.3,46336.9,,,,,,,,TN327,DLG,VERSION 4.01
J2-820,EVT,2015/08/15 23:37:44,45.9166624,-130.0250260,-2.02,-0.48,0.00,0.0,0.0,0.00,0.00,0,HMR2300,-21600.0,39126.7,12233.3,46336.9,,,,,,,,TN327,DLG,TXT: event logger test
J2-820,EVT,2015/08/17 06:07:34,45.9166607,-130.0249745,1.98,-0.66,90.40,0.7,-1.2,1.14,0.77,1.91,HMR2300,-21286.7,56986.7,-14473.3,62530.6,,,,,,,,TN327,TXT,test
J2-820,EVT,2015/08/17 06:07:45,45.9166606,-130.0249743,1.99,-0.67,90.70,1.3,-0.8,1.14,0.82,1.96,HMR2300,-21886.7,56186.7,-15140.0,62170.6,,,,,,,,TN327,TXT,test
J2-820,EVT,2015/08/17 07:10:27,45.9166925,-130.0249943,0.44,2.87,218.30,6.8,2.0,0.81,0.74,1.55,HMR2300,16546.7,30760.0,14373.3,37769.9,,,,,,,,TN327,DLG,JASON: Jason in water J820 Dive
J2-820,EVT,2015/08/17 07:10:27,45.9166925,-130.0249943,0.44,2.87,218.30,6.8,2.0,0.81,0.74,1.55,HMR2300,16546.7,30760.0,14373.3,37769.9,,,,,,,,TN327,DLG,JASON: Jason in water J820 Dive
J2-820,EVT,2015/08/17 07:11:26,45.9166925,-130.0249943,0.44,2.87,156.69,-8.8,2.6,2.34,2.44,4.78,HMR2300,1566.7,45606.7,2420.0,45697.7,,,,,,,,TN327,DLG,TXT: J820 Dive plan is as follows: Rock sampling and fluid sampling on the new lava flows.
J2-820,EVT,2015/08/17 07:13:20,45.9166925,-130.0249943,0.44,2.87,164.22,-4.5,0.2,185.03,3.60,188.63,HMR2300,7493.3,45740.0,1286.7,46367.6,,,,,,,,TN327,DLG,TXT: We have HFS sampler; Suction sampler hose; 3 Gas-tights; 2 Major samplers; Rock sampling box with 6 spaces
J2-820,EVT,2015/08/17 07:15:28,45.9166925,-130.0249943,0.44,2.87,165.98,-8.0,-0.8,165.00,29.21,194.21,HMR2300,5233.3,46553.3,1313.3,46865.0,,,,,,,,TN327,DLG,TXT: J820 tasks: Explore NRZ2015 lava flows; starting from south of southern of two thick NRZ flows
J2-820,EVT,2015/08/17 07:16:17,45.9166925,-130.0249943,0.44,2.87,164.88,-9.5,-0.7,153.30,45.73,199.03,HMR2300,3700.0,46913.3,1146.7,47073.0,,,,,,,,TN327,DLG,TXT: We will traverse from south to north along eruptive fissure; Sample lavas and vent fluid along the ride.
J2-820,EVT,2015/08/17 07:18:04,45.9166925,-130.0249943,0.44,2.87,170.84,-7.8,-0.6,146.09,53.18,199.27,HMR2300,6240.0,46140.0,2973.3,46654.9,,,,,,,,TN327,DLG,TXT: Deployment Location: NRZ2015 Lava flows 130 00.00 and 46 03.82; Z=1700m
J2-820,EVT,2015/08/17 07:18:38,45.9166925,-130.0249943,0.44,2.87,167.80,-7.6,-0.4,160.92,59.46,220.38,HMR2300,6053.3,46380.0,1840.0,46809.5,,,,,,,,TN327,DLG,TXT: In the Port Swing Arm: Rock sampling box(6spaces)
J2-820,EVT,2015/08/17 07:19:09,45.9166925,-130.0249943,0.44,2.87,165.93,-8.4,-0.8,149.06,68.64,217.7,HMR2300,4753.3,46726.7,1373.3,46987.9,,,,,,,,TN327,DLG,TXT: On all dives: Jason high temp probe; Beast HFS; O2 sensor
J2-820,EVT,2015/08/17 07:19:28,45.9166925,-130.0249943,0.44,2.87,167.91,-8.6,-0.7,161.60,74.85,236.45,HMR2300,4993.3,46540.0,2086.7,46853.6,,,,,,,,TN327,DLG,TXT: Starboard Swing Arm: Biobox with markers.
J2-820,EVT,2015/08/17 07:20:19,45.9166925,-130.0249943,0.44,2.87,168.11,-7.3,-0.4,145.38,92.71,238.09,HMR2300,6093.3,46286.7,2313.3,46743.3,,,,,,,,TN327,DLG,TXT: Basket: HFS sampler intake; Suction sampler hose; 3GasTights 2 Majors Rock Sampling Box(4Spaces).
J2-820,EVT,2015/08/17 07:56:38,46.0634136,-129.9993682,1988.56,16310.78,132.81,-7.9,-0.3,165.88,1121.89,1287.77,HMR2300,-4293.3,48900.0,-6466.7,49512.2,,,,,,,,TN327,DLG,TXT: Depth 1102m 07:56 still descending
J2-820,EVT,2015/08/17 08:06:20,46.0639911,-129.9994823,1979.71,16374.96,136.40,-8.0,-0.7,166.97,1406.47,1573.44,HMR2300,-2986.7,48886.7,-6146.7,49362.0,,,,,,,,TN327,DLG,TXT: 1400m still descending
J2-820,EVT,2015/08/17 08:09:44,46.0641296,-129.9995318,1975.87,16390.36,126.54,-7.5,-0.3,183.20,1509.72,1692.92,HMR2300,-5880.0,48973.3,-7106.7,49834.4,,,,,,,,TN327,DLG,Frame_Grab:
J2-820,EVT,2015/08/17 08:11:49,46.0641898,-129.9995162,1977.08,16397.05,119.75,-6.9,-0.2,82.42,1573.28,1655.7,HMR2300,-7860.0,48873.3,-7693.3,50095.6,,,,,,,,TN327,DLG,Frame_Grab:
J2-820,EVT,2015/08/17 08:11:59,46.0641956,-129.9995118,1977.42,16397.69,119.07,-7.1,-0.3,121.97,1578.45,1700.42,HMR2300,-8280.0,48860.0,-7773.3,50162.6,,,,,,,,TN327,DLG,NAV: Doppler Reset test framegrab
J2-820,EVT,2015/08/17 08:12:44,46.0642224,-129.9994945,1978.76,16400.67,117.62,-7.5,-0.2,98.60,1601.76,1700.36,HMR2300,-9313.3,48760.0,-8626.7,50385.5,,,,,,,,TN327,DLG,Frame_Grab:
J2-820,EVT,2015/08/17 08:13:17,46.0642246,-129.9994940,1978.80,16400.92,116.96,-8.0,-0.5,99.70,1600.68,1700.38,HMR2300,-9866.7,48673.3,-8200.0,50335.7,,,,,,,,TN327,DLG,Frame_Grab:
J2-820,EVT,2015/08/17 08:14:36,46.0643638,-129.9997442,1959.39,16416.39,118.21,-8.6,-0.2,77.27,1626.15,1703.42,HMR2300,-9546.7,48640.0,-7793.3,50176.9,,,,,,,,TN327,DLG,TXT: 1594m depth
J2-820,EVT,2015/08/17 08:17:59,46.0645850,-130.0002360,1921.24,16440.97,339.52,-7.2,-0.5,56.62,1642.75,1699.37,HMR2300,-28286.7,34153.3,21820.0,49423.7,,,,,,,,TN327,DLG,TXT: Previous depths are of Medea. The Jason depth overlay is now on.
J2-820,ASNAP,2015/08/17 08:20:02,46.06465223,-130.00029223,1916.874435,16448.447342,340.18,-8.0,-0.1,2.43,1698.30,1700.73,HMR2300,-28773.3,34346.7,21060.0,49508.8,,,,,,,,TN327,,
J2-820,EVT,2015/08/17 08:20:46,46.06465478,-130.00029274,1916.834558,16448.730509,340.31,-8.2,-0.2,1.85,1698.60,1700.45,HMR2300,-29446.7,33953.3,21053.3,49630.4,,,,,,,,TN327,DLG,JASON: Jason on bottom On bottom 1698m 
